id,X,Y,Z,rc,assigned,tracker_idx,row_side,Tracker_ID,NCU,GW,TCU,PS,NCU_ACCIONA,GRUPO,Tracker_Xref,Tracker_Yref,dx_ref,dy_ref,mesa,m_side,corner
120,200906.333,8162515.518,1566.333,1004.0,True,502.0,E,TR-04_1-021,5.0,1.0,21.0,04_1,MU-04_1-17,4.0,200906.2995,8162478.244,0.034,37.274,1,N,NE
121,200900.147,8162515.476,1566.102,1005.0,True,502.0,W,TR-04_1-021,5.0,1.0,21.0,04_1,MU-04_1-17,4.0,200906.2995,8162478.244,-6.152,37.232,1,N,NW
122,200893.933,8162515.416,1565.86,1002.0,True,501.0,E,TR-04_1-020,5.0,1.0,20.0,04_1,MU-04_1-17,4.0,200893.9035,8162478.244,0.03,37.172,1,N,NE
123,200887.734,8162515.509,1565.623,1003.0,True,501.0,W,TR-04_1-020,5.0,1.0,20.0,04_1,MU-04_1-17,4.0,200893.9035,8162478.244,-6.169,37.265,1,N,NW
124,200887.886,8162478.722,1566.584,1003.0,True,501.0,W,TR-04_1-020,5.0,1.0,20.0,04_1,MU-04_1-17,4.0,200893.9035,8162478.244,-6.017,0.478,1,S,SW
125,200887.758,8162477.816,1566.635,1003.0,True,501.0,W,TR-04_1-020,5.0,1.0,20.0,04_1,MU-04_1-17,4.0,200893.9035,8162478.244,-6.145,-0.428,2,N,NW
126,200893.954,8162477.724,1567.146,1002.0,True,501.0,E,TR-04_1-020,5.0,1.0,20.0,04_1,MU-04_1-17,4.0,200893.9035,8162478.244,0.051,-0.52,2,N,NE
127,200893.965,8162478.494,1567.145,1002.0,True,501.0,E,TR-04_1-020,5.0,1.0,20.0,04_1,MU-04_1-17,4.0,200893.9035,8162478.244,0.062,0.25,1,S,SE
128,200893.969,8162440.957,1566.406,1002.0,True,501.0,E,TR-04_1-020,5.0,1.0,20.0,04_1,MU-04_1-17,4.0,200893.9035,8162478.244,0.066,-37.287,2,S,SE
129,200893.961,8162440.308,1566.168,1032.0,True,516.0,E,TR-04_1-035,5.0,1.0,35.0,04_1,MU-04_1-17,4.0,200893.9035,8162403.138,0.058,37.17,1,N,NE
130,200887.749,8162441.047,1566.299,1003.0,True,501.0,W,TR-04_1-020,5.0,1.0,20.0,04_1,MU-04_1-17,4.0,200893.9035,8162478.244,-6.154,-37.197,2,S,SW
131,200887.788,8162440.424,1566.091,1033.0,True,516.0,W,TR-04_1-035,5.0,1.0,35.0,04_1,MU-04_1-17,4.0,200893.9035,8162403.138,-6.115,37.286,1,N,NW
132,200887.744,8162403.674,1567.583,1033.0,True,516.0,W,TR-04_1-035,5.0,1.0,35.0,04_1,MU-04_1-17,4.0,200893.9035,8162403.138,-6.159,0.536,1,S,SW
133,200887.74,8162402.775,1567.607,1033.0,True,516.0,W,TR-04_1-035,5.0,1.0,35.0,04_1,MU-04_1-17,4.0,200893.9035,8162403.138,-6.163,-0.363,2,N,NW
134,200893.943,8162402.609,1567.557,1032.0,True,516.0,E,TR-04_1-035,5.0,1.0,35.0,04_1,MU-04_1-17,4.0,200893.9035,8162403.138,0.04,-0.529,2,N,NE
135,200893.932,8162403.393,1567.545,1032.0,True,516.0,E,TR-04_1-035,5.0,1.0,35.0,04_1,MU-04_1-17,4.0,200893.9035,8162403.138,0.029,0.255,1,S,SE
136,200893.976,8162365.872,1567.171,1032.0,True,516.0,E,TR-04_1-035,5.0,1.0,35.0,04_1,MU-04_1-17,4.0,200893.9035,8162403.138,0.073,-37.266,2,S,SE
137,200893.925,8162365.249,1566.975,1064.0,True,532.0,E,TR-04_1-051,5.0,1.0,51.0,04_1,MU-04_1-17,4.0,200893.9035,8162328.032,0.022,37.217,1,N,NE
